r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,228 dworp 1,XX,9,7,8,10,11,11,10,10,12,9,9,106,19
2,244 brussels cc 2,7,XX,8,10,8,9,9,11,9,9,10,12,102,18
3,261 opwijk 3,8,8,XX,9,8,10,11,9,8,11,9,8,99,18
4,232 dk leuven 1,8,6,6,XX,7,11,10,8,8,9,12,9,94,13
5,229 woluwe 1,6,8,8,8,XX,8,6,7,10,8,8,10,87,11
6,226 europchess 3,5,7,6,5,8,XX,10,8,10,9,9,8,85,11
7,231 dt leuven 1,5,7,5,6,9,6,XX,7,10,12,10,10,87,10
8,240 machelen 1,6,5,7,8,9,8,9,XX,7,6,8,9,82,9
9,207 2 fous diogène 1,6,7,8,8,6,5,6,9,XX,7,8,12,82,7
10,230 leuven 3,4,7,5,7,8,7,4,10,9,XX,7,10,78,7
11,114 mechelen 3,7,6,7,4,8,7,6,8,8,9,XX,8,78,6
12,201 creb 3,7,4,8,7,6,8,6,7,3,6,8,XX,70,3
